order_key,buyer_name,order_number,product_code,product_category,quantity_ordered,order_value,payment_method,order_status,record_date,record_year
1,Buyer_1,ORD30001,PRD5738,Books,1,93470.47,Credit Card,Shipped,2024-09-21,2024
2,Buyer_2,ORD30002,PRD7507,Furniture,3,148327.28,Net Banking,Placed,2019-03-22,2019
3,Buyer_3,ORD30003,PRD4975,Electronics,2,149984.3,Cash,Cancelled,2024-07-14,2024
4,Buyer_4,ORD30004,PRD6708,Books,2,60511.01,Credit Card,Cancelled,2023-03-08,2023
5,Buyer_5,ORD30005,PRD5584,Furniture,10,14775.28,Debit Card,Cancelled,2026-03-19,2026
6,Buyer_6,ORD30006,PRD9101,Grocery,3,124487.07,Debit Card,Shipped,2019-12-06,2019
7,Buyer_7,ORD30007,PRD2316,Clothing,4,105057.82,UPI,Placed,2024-05-12,2024
8,Buyer_8,ORD30008,PRD9286,Grocery,3,78799.5,Credit Card,Delivered,2023-04-10,2023
9,Buyer_9,ORD30009,PRD6427,Books,8,129468.0,Debit Card,Cancelled,2025-11-30,2025
10,Buyer_10,ORD30010,PRD2118,Electronics,2,71400.94,Net Banking,Shipped,2022-06-19,2022
11,Buyer_11,ORD30011,PRD5156,Books,5,134206.92,Credit Card,Packed,2024-01-18,2024
12,Buyer_12,ORD30012,PRD9395,Grocery,7,99980.58,Credit Card,Delivered,2020-10-09,2020
13,Buyer_13,ORD30013,PRD8073,Books,5,76854.8,Net Banking,Delivered,2022-10-28,2022
14,Buyer_14,ORD30014,PRD8722,Grocery,5,77925.63,Credit Card,Shipped,2022-01-21,2022
15,Buyer_15,ORD30015,PRD6255,Electronics,4,18371.01,Debit Card,Cancelled,2024-08-09,2024
16,Buyer_16,ORD30016,PRD5158,Furniture,9,6027.18,Net Banking,Placed,2019-01-16,2019
17,Buyer_17,ORD30017,PRD9134,Books,6,40064.5,Cash,Packed,2020-04-17,2020
18,Buyer_18,ORD30018,PRD7384,Books,2,112540.73,Debit Card,Placed,2020-03-04,2020
19,Buyer_19,ORD30019,PRD7676,Books,8,983.18,Net Banking,Placed,2020-11-06,2020
20,Buyer_20,ORD30020,PRD5085,Grocery,5,115509.2,Cash,Placed,2022-12-12,2022
21,Buyer_21,ORD30021,PRD6606,Electronics,8,114429.52,UPI,Shipped,2022-03-16,2022
