policy_key,policy_holder,policy_number,insurance_type,premium_amount,coverage_amount,claim_status,agent_code,record_date,record_year
1,PolicyHolder_1,POL20001,Life,29683.61,3215056.76,No Claim,AG993,2026-05-16,2026
2,PolicyHolder_2,POL20002,Life,7563.1,2093027.29,No Claim,AG205,2022-05-08,2022
3,PolicyHolder_3,POL20003,Vehicle,50068.52,2945261.11,Claim Rejected,AG313,2020-01-30,2020
4,PolicyHolder_4,POL20004,Vehicle,64410.49,3438451.6,Claim Approved,AG537,2020-12-01,2020
5,PolicyHolder_5,POL20005,Property,43468.63,1111082.16,Claim Raised,AG135,2019-09-19,2019
6,PolicyHolder_6,POL20006,Health,12956.39,1341772.17,Claim Approved,AG412,2020-12-09,2020
7,PolicyHolder_7,POL20007,Vehicle,20518.2,676714.75,No Claim,AG373,2026-06-02,2026
8,PolicyHolder_8,POL20008,Life,86615.7,1176361.51,Claim Raised,AG157,2026-08-04,2026
9,PolicyHolder_9,POL20009,Vehicle,31542.82,3504422.42,Claim Approved,AG714,2018-10-28,2018
10,PolicyHolder_10,POL20010,Life,92630.87,1441632.84,Claim Rejected,AG260,2023-09-11,2023
11,PolicyHolder_11,POL20011,Property,93239.25,4329535.73,Claim Raised,AG898,2020-07-10,2020
12,PolicyHolder_12,POL20012,Property,37753.86,670107.49,No Claim,AG631,2025-03-09,2025
13,PolicyHolder_13,POL20013,Property,21370.93,944397.64,No Claim,AG217,2020-11-05,2020
14,PolicyHolder_14,POL20014,Health,81951.89,4011946.8,Claim Rejected,AG568,2021-12-20,2021
15,PolicyHolder_15,POL20015,Health,84403.2,904067.4,Claim Rejected,AG670,2024-08-16,2024
16,PolicyHolder_16,POL20016,Health,11944.72,3761469.76,No Claim,AG440,2022-06-02,2022
17,PolicyHolder_17,POL20017,Health,95838.46,3927645.59,No Claim,AG906,2021-07-24,2021
18,PolicyHolder_18,POL20018,Life,25865.42,2582537.02,No Claim,AG260,2018-12-25,2018
19,PolicyHolder_19,POL20019,Life,89731.7,4386919.42,Claim Rejected,AG381,2018-12-11,2018
20,PolicyHolder_20,POL20020,Property,14370.46,1275038.29,Claim Raised,AG199,2019-11-26,2019
21,PolicyHolder_21,POL20021,Life,57727.1,4442274.11,No Claim,AG559,2022-01-21,2022
22,PolicyHolder_22,POL20022,Health,21982.96,4088371.97,Claim Approved,AG514,2024-02-22,2024
23,PolicyHolder_23,POL20023,Vehicle,24667.47,3152242.8,Claim Raised,AG792,2019-09-29,2019
24,PolicyHolder_24,POL20024,Health,31241.33,4404735.11,Claim Approved,AG853,2019-10-14,2019
25,PolicyHolder_25,POL20025,Property,98100.69,4517614.23,No Claim,AG168,2021-11-05,2021
26,PolicyHolder_26,POL20026,Property,25073.95,4597719.69,No Claim,AG869,2025-02-26,2025
27,PolicyHolder_27,POL20027,Vehicle,72908.88,976906.29,Claim Approved,AG723,2024-10-23,2024
28,PolicyHolder_28,POL20028,Health,98246.81,302061.36,Claim Raised,AG733,2019-10-19,2019
